order_id,latitude,longitude,city_zone,status
ORD-10000,-6.199700,106.603064,Jakarta_Port_B,Delivered
ORD-10001,6.072447,80.205626,Colombo_Zone_F,Pending
ORD-10002,-5.963177,106.977055,Jakarta_Port_B,In_Transit
ORD-10003,7.157670,80.095181,Colombo_Zone_F,Pending
ORD-10004,22.435246,88.059107,Kolkata_Zone_C,In_Transit
ORD-10005,6.694480,80.427059,Colombo_Zone_F,Pending
ORD-10006,12.581242,80.357524,Chennai_Zone_B,Pending
ORD-10007,1.040000,104.175097,Singapore_Port_A,In_Transit
ORD-10008,6.847898,79.791400,Colombo_Zone_F,In_Transit
ORD-10009,6.999593,79.931675,Colombo_Zone_F,Delivered
ORD-10010,19.267343,73.014661,Mumbai_Zone_A,Delivered
ORD-10011,13.435801,100.757112,Bangkok_Zone_E,Pending
ORD-10012,21.790360,88.640077,Kolkata_Zone_C,In_Transit
ORD-10013,13.736633,99.385519,Bangkok_Zone_E,In_Transit
ORD-10014,-5.447698,106.940190,Jakarta_Port_B,Pending
ORD-10015,7.127826,80.670113,Colombo_Zone_F,In_Transit
ORD-10016,13.341241,100.089072,Bangkok_Zone_E,In_Transit
ORD-10017,7.049822,79.744450,Colombo_Zone_F,In_Transit
ORD-10018,6.308011,79.613063,Colombo_Zone_F,Pending
ORD-10019,22.199479,88.830893,Kolkata_Zone_C,In_Transit
ORD-10020,13.014953,80.348454,Chennai_Zone_B,Delivered
ORD-10021,19.607946,72.715519,Mumbai_Zone_A,Exception
ORD-10022,1.281649,104.448508,Singapore_Port_A,In_Transit
ORD-10023,13.987064,100.902460,Bangkok_Zone_E,Exception
ORD-10024,14.995727,121.821864,Manila_Zone_D,In_Transit
ORD-10025,13.167634,80.825831,Chennai_Zone_B,Pending
ORD-10026,0.337941,104.102856,Singapore_Port_A,Exception
ORD-10027,14.024053,120.843610,Manila_Zone_D,In_Transit
ORD-10028,-7.093275,106.360800,Jakarta_Port_B,Pending
ORD-10029,13.081490,79.793293,Chennai_Zone_B,In_Transit
ORD-10030,19.351583,72.723302,Mumbai_Zone_A,In_Transit
ORD-10031,22.641181,88.521148,Kolkata_Zone_C,In_Transit
ORD-10032,1.719536,103.438916,Singapore_Port_A,Delivered
ORD-10033,13.990750,120.929438,Manila_Zone_D,In_Transit
ORD-10034,22.436196,88.760609,Kolkata_Zone_C,Pending
ORD-10035,22.738369,89.067973,Kolkata_Zone_C,In_Transit
ORD-10036,19.168763,73.553406,Mumbai_Zone_A,In_Transit
ORD-10037,0.946413,103.562403,Singapore_Port_A,Pending
ORD-10038,1.622626,103.852639,Singapore_Port_A,Pending
ORD-10039,-6.997613,106.943151,Jakarta_Port_B,Pending
ORD-10040,6.829873,79.068870,Colombo_Zone_F,Pending
